SEQ,Orig Filename,INST.1,INST.2,INST.#,INST.#.2,INST.3A,DESC,Dimension,Foto-ID,Farbskala
244,AIG391OSmitUK,,AIG,0391,,,OSmitUK,,,
245,AIG391OSmitUK001,,AIG,0391,,,OSmitUK,,001,
246,AIG391OSmitUK005,,AIG,0391,,,OSmitUK,,005,
247,AIG391OSmitUK011,,AIG,0391,,,OSmitUK,,011,
248,AIG391OSmitUK017,,AIG,0391,,,OSmitUK,,017,
249,AIG391OSmitUK081,,AIG,0391,,,OSmitUK,,081,
250,AIG409OSmitUK39,,AIG,0409,,,OSmitUK,,039,
251,GZGHST0502Coelodontaantiquitatis,GZG,HST,0502,,,Coelodontaantiquitatis,,,
252,GZGHST0502CoelodontaantiquitatisFarbskala,GZG,HST,0502,,,Coelodontaantiquitatis,,,Farbskala
253,GZGHST0502CoelodontaantiquitatisFarbskala,GZG,HST,0502,,,Coelodontaantiquitatis,,,Farbskala
254,GZGHST0503Coelodontaantiquitatis,GZG,HST,0503,,,Coelodontaantiquitatis,,,
255,GZGHST0503CoelodontaantiquitatisFarbskala,GZG,HST,0503,,,Coelodontaantiquitatis,,,Farbskala
256,GZGHST0503CoelodontaantiquitatisFarbskala,GZG,HST,0503,,,Coelodontaantiquitatis,,,Farbskala
257,GZGHST0504CoelodontaantiquitatisFarbskala,GZG,HST,0504,,,Coelodontaantiquitatis,,,Farbskala
258,GZGHST0504Coelodontaantiquitatis,GZG,HST,0504,,,Coelodontaantiquitatis,,,
259,GZGHST0504CoelodontaantiquitatisFarbskala,GZG,HST,0504,,,Coelodontaantiquitatis,,,Farbskala
260,GZGHST0504CoelodontaantiquitatisFarbskala,GZG,HST,0504,,,Coelodontaantiquitatis,,,Farbskala
261,GZGHST0440CoelodontaantiquitatisFarbskala,GZG,HST,0440,,,Coelodontaantiquitatis,,,Farbskala
262,,,,,,,,,,
263,GZGHST0440Coelodontaantiquitatis,GZG,HST,0440,,,Coelodontaantiquitatis,,,
264,GZGHST0440CoelodontaantiquitatisFarbskala,GZG,HST,0440,,,Coelodontaantiquitatis,,,Farbskala
265,GZGHST0440CoelodontaantiquitatisFarbskala,GZG,HST,0440,,,Coelodontaantiquitatis,,,Farbskala
266,GZGHST0441CoelodontaantiquitatisFarbskala,GZG,HST,0441,,,Coelodontaantiquitatis,,,Farbskala
267,GZGHST0441Coelodontaantiquitatis,GZG,HST,0441,,,Coelodontaantiquitatis,,,
268,GZGHST0441CoelodontaantiquitatisFarbskala,GZG,HST,0441,,,Coelodontaantiquitatis,,,Farbskala
269,GZGHST0441CoelodontaantiquitatisFarbskala,GZG,HST,0441,,,Coelodontaantiquitatis,,,Farbskala
270,,,,,,,,,,
271,GZGHST0441Coelodontaantiquitatis059,GZG,HST,0441,,,Coelodontaantiquitatis,,059,
272,GZGHST434,GZG,HST,0434,,,,,,
273,AIG382OSmitUK001,,AIG,0382,,,OSmitUK,,001,
274,AIG769OSmitUK,,AIG,0769,,,OSmitUK,,,
275,AIG769OSmitUK1,,AIG,0769,,,OSmitUK,,001,
276,AIG769OSmitUK11,,AIG,0769,,,OSmitUK,,011,
277,AIG769OSmitUK17,,AIG,0769,,,OSmitUK,,017,
278,AIG769OSmitUK5,,AIG,0769,,,OSmitUK,,005,
279,AIG769OSmitUK81,,AIG,0769,,,OSmitUK,,081,
280,,,,,,,,,,
281,GZGHST0266Nagelfluhe,GZG,HST,0266,,,Nagelfluhe,,,
